Torque,Speed
4.25041,297.166
4.18665,297.209
4.12385,297.251
4.06199,297.292
4.00106,297.333
3.94105,297.373
3.88193,297.412
3.8237,297.451
3.76635,297.489
3.70985,297.527
3.65421,297.564
3.59939,297.6
3.5454,297.636
3.49222,297.672
3.43984,297.707
3.38824,297.741
3.33742,297.775
3.28735,297.808
3.23804,297.841
3.18947,297.874
3.14163,297.906
3.09451,297.937
3.04809,297.968
3.00237,297.998
2.95733,298.028
2.91297,298.058
2.86928,298.087
2.82624,298.116
2.78385,298.144
2.74209,298.172
2.70096,298.199
2.66044,298.226
2.62054,298.253
2.58123,298.279
2.54251,298.305
2.50437,298.33
2.46681,298.355
2.4298,298.38
2.39336,298.404
2.35746,298.428
2.32209,298.452
2.28726,298.475
2.25295,298.498
2.21916,298.521
2.18587,298.543
2.15308,298.565
2.12079,298.586
2.08898,298.607
2.05764,298.628
2.02678,298.649
1.99638,298.669
1.96643,298.689
1.93693,298.709
1.90788,298.728
1.87926,298.747
1.85107,298.766
1.82331,298.784
1.79596,298.803
1.76902,298.821
1.74248,298.838
1.71634,298.856
1.6906,298.873
1.66524,298.89
1.64026,298.906
1.61566,298.923
1.59142,298.939
1.56755,298.955
1.54404,298.971
1.52088,298.986
1.49806,299.001
1.47559,299.016
1.45346,299.031
1.43166,299.046
1.41018,299.06
1.38903,299.074
1.36819,299.088
1.34767,299.102
1.32746,299.115
1.30754,299.128
1.28793,299.141
1.26861,299.154
1.24958,299.167
1.23084,299.179
1.21238,299.192
1.19419,299.204
1.17628,299.216
1.15863,299.228
1.14126,299.239
1.12414,299.251
1.10727,299.262
1.09067,299.273
1.07431,299.284
1.05819,299.295
1.04232,299.305
1.02668,299.316
1.01128,299.326
0.996113,299.336
0.981172,299.346
0.966454,299.356
0.951957,299.365
0.937678,299.375
0.923613,299.384
0.909759,299.393
0.896112,299.403
0.882671,299.412
0.86943,299.42
0.856389,299.429
0.843543,299.438
0.83089,299.446
0.818427,299.454
0.80615,299.463
0.794058,299.471
0.782147,299.479
0.770415,299.486
0.758859,299.494
0.747476,299.502
0.736264,299.509
0.72522,299.517
0.714341,299.524
0.703626,299.531
0.693072,299.538
0.682676,299.545
0.672436,299.552
0.662349,299.558
0.652414,299.565
0.642628,299.572
0.632988,299.578
0.623493,299.584
0.614141,299.591
0.604929,299.597
0.595855,299.603
0.586917,299.609
0.578113,299.615
0.569442,299.62
0.5609,299.626
0.552487,299.632
0.544199,299.637
0.536036,299.643
0.527996,299.648
0.520076,299.653
0.512275,299.658
0.504591,299.664
0.497022,299.669
0.489566,299.674
0.482223,299.679
0.47499,299.683
0.467865,299.688
0.460847,299.693
0.453934,299.697
0.447125,299.702
0.440418,299.706
0.433812,299.711
0.427305,299.715
0.420895,299.719
0.414582,299.724
0.408363,299.728
0.402238,299.732
0.396204,299.736
0.390261,299.74
0.384407,299.744
0.378641,299.748
0.372961,299.751
0.367367,299.755
0.361856,299.759
0.356429,299.762
0.351082,299.766
0.345816,299.769
0.340629,299.773
0.335519,299.776
0.330486,299.78
0.325529,299.783
0.320646,299.786
0.315836,299.789
0.311099,299.793
0.306432,299.796
0.301836,299.799
0.297308,299.802
0.292849,299.805
0.288456,299.808
0.284129,299.811
0.279867,299.813
0.275669,299.816
0.271534,299.819
0.267461,299.822
0.263449,299.824
0.259498,299.827
0.255605,299.83
0.251771,299.832
0.247994,299.835
0.244275,299.837
0.24061,299.84
0.237001,299.842
0.233446,299.844
0.229945,299.847
0.226495,299.849
0.223098,299.851
0.219751,299.853
0.216455,299.856
0.213208,299.858
0.21001,299.86
0.20686,299.862
0.203757,299.864
0.200701,299.866
0.19769,299.868
0.194725,299.87
0.191804,299.872
0.188927,299.874
0.186093,299.876
0.183302,299.878
0.180552,299.88
0.177844,299.881
0.175176,299.883
0.172549,299.885
0.16996,299.887
0.167411,299.888
0.1649,299.89
0.162426,299.892
0.15999,299.893
0.15759,299.895
0.155226,299.897
0.152898,299.898
0.150604,299.9
0.148345,299.901
0.14612,299.903
0.143928,299.904
0.141769,299.905
0.139643,299.907
0.137548,299.908
0.135485,299.91
0.133453,299.911
0.131451,299.912
0.129479,299.914
0.127537,299.915
0.125624,299.916
0.12374,299.918
0.121883,299.919
0.120055,299.92
0.118254,299.921
0.116481,299.922
0.114733,299.924
0.113012,299.925
0.111317,299.926
0.109647,299.927
0.108003,299.928
0.106383,299.929
0.104787,299.93
0.103215,299.931
0.101667,299.932
0.100142,299.933
0.0986398,299.934
0.0971602,299.935
0.0957028,299.936
0.0942672,299.937
0.0928532,299.938
0.0914604,299.939
0.0900885,299.94
0.0887372,299.941
0.0874061,299.942
0.086095,299.943
0.0848036,299.943
0.0835316,299.944
0.0822786,299.945
